casts,directors,rate,title
"赵薇,黄渤,佟大为,郝蕾,张译",陈可辛,8.4,亲爱的
"胡歌,桂纶镁,廖凡,万茜,奇道",刁亦男,7.4,南方车站的聚会
"丹尼斯·奎德,凯瑟琳·普雷斯科特,刘宪华,玛格·海根柏格,贝蒂·吉尔平",盖尔·曼库索,6.9,一条狗的使命2
"海莉·斯坦菲尔德,小豪尔赫·兰登伯格,约翰·塞纳,杰森·德鲁克,帕梅拉·阿德龙",特拉维斯·奈特,7.0,大黄蜂
"杨幂,鹿晗,王景春,朱亚文,刘芮麟",安相勋,6.2,我是证人
"邓超,杨幂,古力娜扎,栾元晖,秦越","俞白眉,邓超",5.0,分手大师
"大鹏,袁姗姗,柳岩,吴君如,曾志伟",大鹏,5.8,煎饼侠
"黄渤,段奕宏,徐静蕾,杨子姗,梁杰理",陈正道,7.1,记忆大师
"彭昱畅,王大陆,魏大勋,曾梦雪,贾冰",田羽生,5.1,小小的愿望
"徐璐,彭昱畅,刘泳希,鲁照华,韩忠羽",王冉,7.3,闪光少女
"杰克·布莱克,布莱恩·科兰斯顿,达斯汀·霍夫曼,安吉丽娜·朱莉,J·K·西蒙斯","吕寅荣,亚历山德罗·卡罗尼",7.7,功夫熊猫3
"威尔·史密斯,玛丽·伊丽莎白·温斯特德,克里夫·欧文,本尼迪克特·王,道格拉斯·霍奇斯",李安,6.9,双子杀手
"王景春,咏梅,齐溪,王源,杜江",王小帅,8.0,地久天长
"黄渤,王珞丹,谭卓,白客,黄璐",董润年,7.0,被光抓走的人
"陈赫,袁弘,娄艺潇,邓家佳,孙艺洲",韦正,3.2,爱情公寓
"甄子丹,周迅,陈坤,赵薇,孙俪","陈嘉上,钱永强",6.6,画皮
"杨幂,郭采洁,陈学冬,郭碧婷,谢依霖",郭敬明,4.8,小时代4：灵魂尽头
"彭于晏,倪妮,郑恺,魏晨,张子萱",张一白,5.5,匆匆那年
"杨子姗,赵又廷,韩庚,江疏影,刘雅瑟",赵薇,6.6,致我们终将逝去的青春
"汤姆·克鲁斯,亨利·卡维尔,文·瑞姆斯,西蒙·佩吉,丽贝卡·弗格森",克里斯托弗·麦奎里,8.1,碟中谍6：全面瓦解
"布拉德·皮特,汤米·李·琼斯,鲁丝·内伽,唐纳德·萨瑟兰,金伯莉·伊丽丝",詹姆斯·格雷,6.8,星际探索
"盖尔·加朵,克里斯·派恩,康妮·尼尔森,罗宾·怀特,丹尼·赫斯顿",派蒂·杰金斯,7.1,神奇女侠
"张家辉,古天乐,吴镇宇,姜珮瑶,张亦驰",文伟鸿,6.3,使徒行者2：谍影行动
"杨幂,柯震东,郭采洁,陈学冬,郭碧婷",郭敬明,4.5,小时代3：刺金时代
"汤唯,吴秀波,惠英红,秦沛,吴彦姝",薛晓路,6.4,北京遇上西雅图之不二情书
"刘德华,古天乐,苗侨伟,林嘉欣,周秀娜",邱礼涛,6.0,扫毒2天地对决
